X,Y,Comuna,Interseccion,Numero,Fallecidos
-70.78695303065433,-33.524725237839135,MAIPU,1,0,0
-70.76723618945262,-33.52508862594852,MAIPU,1,0,0
-70.78438728285258,-33.515680461800095,MAIPU,1,0,0
-70.7766776,-33.530281,MAIPU,0,100,0
-70.75459726385247,-33.49085868138286,MAIPU,1,0,0
-70.73396986032066,-33.49692585684266,MAIPU,1,0,0
-70.75185420031096,-33.525014900317224,MAIPU,0,11700,0
-70.78431605334305,-33.50690384933303,MAIPU,1,0,0
-70.7530487,-33.4791632,MAIPU,0,901,0
-70.78807072468413,-33.52606504316714,MAIPU,1,0,0
-70.7359797,-33.50043650000001,MAIPU,0,7513,0
-70.791032,-33.505342800000015,MAIPU,1,0,0
-70.77924433206022,-33.52453416951625,MAIPU,1,0,0
-70.75726631358329,-33.513003066643655,MAIPU,0,1725,0
-70.61018563659576,-33.450021880794736,ÑUÑOA,0,2487,0
-70.60081076036447,-33.47085935449289,ÑUÑOA,1,0,0
-70.62834973894928,-33.45518586193793,ÑUÑOA,1,0,0
-70.58120916656516,-33.4446452969918,ÑUÑOA,1,0,0
-70.59421160656926,-33.45680685575131,ÑUÑOA,1,0,0
-70.6006691959715,-33.44814179728711,ÑUÑOA,1,0,0
-70.6063634538394,-33.47329234789693,ÑUÑOA,1,0,0
-70.5771201109644,-33.468754895466525,ÑUÑOA,0,5500,0
-70.60089155280286,-33.44648999691577,ÑUÑOA,1,0,0
-70.61909619348965,-33.453358718636125,ÑUÑOA,0,1115,0
-70.60383032077398,-33.46321097163704,ÑUÑOA,1,0,0
-70.59986398956461,-33.45467785107363,ÑUÑOA,1,0,0
-70.60117129085663,-33.454525839002216,ÑUÑOA,1,0,0
-70.6268566463226,-33.45734675776704,ÑUÑOA,1,0,0
-70.62302494484527,-33.47492399964285,ÑUÑOA,1,0,0
-70.5844769927922,-33.46639191789539,ÑUÑOA,0,4587,0
-70.60063239966536,-33.45457969999303,ÑUÑOA,0,2928,0
-70.60909479978517,-33.513104250360804,LA FLORIDA,0,3331,0
-70.60753215621658,-33.53380989753087,LA FLORIDA,1,0,0
