X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.771614205930689,-33.53655864486543,57,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191137,FERROCARRIL,131191319,HERNAN OLGUIN, ,FERROCARRIL - HERNAN OLGUIN,FERROCARRIL @ HERNAN OLGUIN,0,0,0,1
-70.771131885128227,-33.511772090909119,58,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131191499,JOSE MANUEL BORGONO,131190730,DEL REY, ,DEL REY - JOSE MANUEL BORGONO,JOSE MANUEL BORGONO @ DEL REY,0,0,0,2
-70.770895828379651,-33.517927209273118,59,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192605,PORTALES,131190730,DEL REY, ,DEL REY - PORTALES,PORTALES @ DEL REY,0,0,0,1
-70.770450955347144,-33.52488036803441,60,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192375,NVA SAN MARTIN,131190730,DEL REY, ,DEL REY - NVA SAN MARTIN,NVA SAN MARTIN @ DEL REY,0,1,0,0
-70.77011982856709,-33.502434469674881,61,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191824,LIBER BERNARDO O`HIGGINS,131193042,TERRANOVA, ,LIBER BERNARDO O`HIGGINS - TERRANOVA,LIBER BERNARDO O`HIGGINS @ TERRANOVA,0,0,0,1
-70.769073741659724,-33.499384966642765,62,3,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190310,BLANCO ENCALADA,131190713,DE LA VICTORIA, ,BLANCO ENCALADA - DE LA VICTORIA,BLANCO ENCALADA @ DE LA VICTORIA,0,0,2,1
-70.768954968197079,-33.442941840493411,63,2,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131241232,SAN PABLO,131241250,SERRANO, ,SAN PABLO - SERRANO,SAN PABLO @ SERRANO,1,0,0,1
-70.768930928419479,-33.454464314276557,64,2,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131240582,LA TRAVESIA,131240039,AMERICO VESPUCIO, ,AMERICO VESPUCIO - LA TRAVESIA,LA TRAVESIA @ AMERICO VESPUCIO,0,0,0,2
-70.76874722120715,-33.502185213576603,65,2,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190713,DE LA VICTORIA,131191824,LIBER BERNARDO O`HIGGINS, ,DE LA VICTORIA - LIBER BERNARDO O`HIGGINS,DE LA VICTORIA @ LIBER 
-70.768723201214584,-33.447670483905547,66,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131241201,RUTA 68,131241250,SERRANO, ,RUTA 68 - SERRANO,RUTA 68 @ SERRANO,0,1,0,0
-70.768721203820348,-33.521279892652792,67,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192442,PADRE HURTADO,131192995,SUR, ,PADRE HURTADO - SUR,PADRE HURTADO @ SUR,0,0,0,1
-70.767647066159043,-33.437161902199882,68,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131241250,SERRANO,131240169,CARD JOSE MARIA CARO, ,CARD JOSE MARIA CARO - SERRANO,SERRANO @ CARD JOSE MARIA CARO,1,0,0,0
-70.767538437948417,-33.514992120689655,69,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191351,HUASCAR,131191782,LAS TINAJAS, ,HUASCAR - LAS TINAJAS,HUASCAR @ LAS TINAJAS,0,0,0,1
-70.767445199835947,-33.436495099868822,70,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131241251,SERRANO, , ,1175,- SERRANO,1175 SERRANO,0,1,0,0
-70.76739049137791,-33.489947308421385,71,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131193020,TEATRO ALAMEDA,131191672,LA SINFONIA, ,LA SINFONIA - TEATRO ALAMEDA,TEATRO ALAMEDA @ LA SINFONIA,0,0,0,1
-70.766922744988562,-33.488135843594151,72,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190279,BATALLA DE MAIPU, , ,499,- BATALLA DE MAIPU,499 BATALLA DE MAIPU,0,0,0,1
-70.766678200438434,-33.453946599755632,73,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131241320,TRAVESIA, , ,9421,- TRAVESIA,9421 TRAVESIA,1,0,1,0
-70.765415298676942,-33.492380892763862,74,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190408,CAMINO LA FARFANA,131191404,ISABEL RIQUELME, ,CAMINO LA FARFANA - ISABEL RIQUELME,CAMINO LA FARFANA @ ISABEL RIQUELME,0,0,0,1
-70.764741440265084,-33.509112846880214,75,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190541,CHACABUCO,131192883,SAN MARTIN, ,CHACABUCO - SAN MARTIN,CHACABUCO @ SAN MARTIN,0,0,0,1
-70.764433440450773,-33.521115614393914,76,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192995,SUR,131190671,CRUZ DEL SUR, ,CRUZ DEL SUR - SUR,SUR @ CRUZ DEL SUR,0,0,0,1
-70.763974289781515,-33.505525609519097,77,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131192883,SAN MARTIN,131191825,LIBERTAD, ,LIBERTAD - SAN MARTIN,SAN MARTIN @ LIBERTAD,0,0,0,1
-70.76370159465273,-33.457042964660978,78,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131240527,JAIME GUZMAN ERRAZURIZ,131240500,ISLA LENNOX, ,ISLA LENNOX - JAIME GUZMAN ERRAZURIZ,JAIME GUZMAN ERRAZURIZ @ ISLA LE
-70.763231902130428,-33.414342686265819,79,1,CERRO NAVIA,2016,1,13103,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131030290,LA CAPILLA,131030617,SERRANO, ,LA CAPILLA - SERRANO,LA CAPILLA @ SERRANO,0,0,0,2
-70.762690899665131,-33.514976500365051,80,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192874,SAN JOSE, , ,459,- SAN JOSE,459 SAN JOSE,0,0,0,1
-70.762651768364265,-33.453641350068082,81,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131240482,ISLA DE PASCUA,131241320,TRAVESIA, ,ISLA DE PASCUA - TRAVESIA,ISLA DE PASCUA @ TRAVESIA,0,0,0,1
-70.761692982245165,-33.442696970388738,82,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131241325,TROVADOR, , ,9037,- TROVADOR,9037 TROVADOR,1,0,0,0
-70.761111819654616,-33.427680009924366,83,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131240397,FEDERICO ERRAZURIZ,131240538,JOSE JOAQUIN PEREZ, ,FEDERICO ERRAZURIZ - JOSE JOAQUIN PEREZ,FEDERICO ERRAZURIZ @ JO
-70.761072169444901,-33.385902913488522,84,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240150,CAMINO LO BOZA, , ,121,- CAMINO LO BOZA,121 CAMINO LO BOZA,0,0,0,1
-70.761021531318477,-33.362976570312306,85,1,QUILICURA,2016,1,13125,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131250382,LO MARCOLETA, , ,0,- LO MARCOLETA,0 LO MARCOLETA,0,0,0,1
-70.657228939363904,-33.391901055189415,86,1,CONCHALI,2016,1,13104,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131040246,EL GUANACO,131040160,CARD JOSE MARIA CARO, ,CARD JOSE MARIA CARO - EL GUANACO,EL GUANACO @ CARD JOSE MARIA CARO,0
-70.760976938434794,-33.46965397245269,87,2,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131190875,EL DESCANSO,131190124,AMERICO VESPUCIO, ,AMERICO VESPUCIO - EL DESCANSO,EL DESCANSO @ AMERICO VESPUCIO,0,0,1,2
-70.760328249349072,-33.458562363861859,88,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240642,LAGUNA SUR,131240494,ISLA GRANDE TIERRA DEL FUEGO, ,ISLA GRANDE TIERRA DEL FUEGO - LAGUNA SUR,LAGUNA SUR @ ISLA GRANDE TIERRA 
-70.760206000006747,-33.386371999867727,89,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131240039,AMERICO VESPUCIO, , ,130,- AMERICO VESPUCIO,130 AMERICO VESPUCIO,0,0,0,1
-70.760012444318704,-33.507845474588812,90,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131192180,MANUEL RODRIGUEZ,131191257,GRAL ORDONEZ, ,GRAL ORDONEZ - MANUEL RODRIGUEZ,MANUEL RODRIGUEZ @ GRAL ORDONEZ,0,1,0,1
-70.759898786199869,-33.512698759539951,91,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192180,MANUEL RODRIGUEZ,131191607,LA COLONIA, ,LA COLONIA - MANUEL RODRIGUEZ,MANUEL RODRIGUEZ @ LA COLONIA,0,0,0,1
