X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.688773156555897,-33.585292321083742,55,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PEDRO DE VALDIVIA,FRANCISCO DE CAMARGO,0,PEDRO DE VALDIVIA / FRANCISCO DE CAMARGO,0,0,0,1,1
-70.687266703995135,-33.590047316430464,56,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BALMACEDA,MARINA ORTIZ DE GAETE,0,BALMACEDA / MARINA ORTIZ DE GAETE,1,0,0,0,1
-70.6861220999549,-33.583723200165551,57,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CRISTOBAL DE MOLINA, ,13741,CRISTOBAL DE MOLINA 13741,0,1,0,0,1
-70.685658813303576,-33.584992109398272,58,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BARTOLOME DIAZ,PEDRO SANCHO DE LA HOZ,0,BARTOLOME DIAZ / PEDRO SANCHO DE LA HOZ,0,0,0,0,1
-70.685410569841906,-33.595997438830693,59,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CHACAO,CHAUQUES,0,CHACAO / CHAUQUES,0,0,0,1,1
-70.684336782016828,-33.591412889293352,60,2,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,MARTIN DE SOLIS,BALMACEDA,0,MARTIN DE SOLIS / BALMACEDA,0,1,0,1,2
-70.682899659091959,-33.589214020810338,61,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SANTA MARTA,MARTIN DE SOLIS,0,SANTA MARTA / MARTIN DE SOLIS,0,0,1,0,1
-70.680133194291443,-33.595600234363296,62,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PADRE HURTADO,PIRINEOS,0,PADRE HURTADO / PIRINEOS,0,0,0,1,1
-70.679691689220022,-33.59372835038301,63,3,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PADRE HURTADO,BALMACEDA,0,PADRE HURTADO / BALMACEDA,0,0,0,3,3
-70.6789710201964,-33.590956513931921,64,3,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SANTA MARTA,PADRE HURTADO,0,SANTA MARTA / PADRE HURTADO,1,0,0,2,3
-70.675569417294753,-33.594524701853459,65,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BALMACEDA, ,1282,BALMACEDA 1282,0,1,0,0,1
-70.6754662623581,-33.594547895369026,66,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BALMACEDA, ,1222,BALMACEDA 1222,0,1,0,0,1
-70.671092870039899,-33.589498481769454,67,2,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SANTA TERESA,SANTA MERCEDES,0,SANTA TERESA / SANTA MERCEDES,0,1,0,1,2
-70.680181798151409,-33.582189861472905,68,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,MARTIN DE ROBLEDO,SANTA MARTA,0,MARTIN DE ROBLEDO / SANTA MARTA,0,1,0,0,1
-70.679997795961469,-33.584717409680657,69,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALDERON DE LA BARCA,MARTIN DE SOLIS,0,CALDERON DE LA BARCA / MARTIN DE SOLIS,0,0,0,1,1
-70.679311396503692,-33.583491255117288,70,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,MARTIN DE SOLIS,ALONSO ESCUDERO,0,MARTIN DE SOLIS / ALONSO ESCUDERO,0,0,0,1,1
-70.677652857793134,-33.585553104691996,71,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PADRE HURTADO, ,13560,PADRE HURTADO 13560,0,0,0,1,1
-70.676700663704651,-33.582442652806158,72,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,LO BLANCO,0,LOS MORROS / LO BLANCO,0,1,0,0,1
-70.676489858120419,-33.581324442968665,73,2,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS, ,11200,LOS MORROS 11200,0,2,0,0,2
-70.676173135781539,-33.580957492594145,74,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LOS MORROS,LAS PARCELAS,0,LOS MORROS / LAS PARCELAS,0,0,0,1,1
-70.69053247239566,-33.574141512820511,75,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,GRAN AVENIDA JOSE MIGUEL CARRERA,LO MORENO,0,GRAN AVENIDA JOSE MIGUEL CARRERA / LO MORENO,0,0,0,1,1
-70.687154697930907,-33.578361516770549,76,2,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LO BLANCO,PEDRO DE MENDOZA,0,LO BLANCO / PEDRO DE MENDOZA,0,0,0,3,2
-70.686273792201689,-33.568404983003525,77,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,CENTRAL,GRAN AVENIDA JOSE MIGUEL CARRERA,0,CENTRAL / GRAN AVENIDA JOSE MIGUEL CARRERA,0,0,1,0,1
